(leave this row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD,SIZE,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ROR_abs,110,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,ROR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ROR_abs_X,126,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,.,.,.,ROR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ROR_zp,102,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,.,.,.,ROR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ROR_zp_X,118,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,.,.,.,ROR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
RTI_imp,64,x,x,1,RTI,.,.,.,P3,R,PULL,.,3,.,.,.,.,.,.,.,.,.,x,.,.,.,.,.,.,.,.
RTS_imp,96,x,x,1,RTS,.,.,.,P2,R,PULL,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SBC_abs,237,x,x,3,.,.,.,.,.,R,ABS,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_abs_X,253,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_abs_Y,249,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_idx_ind,225,x,x,2,.,.,.,.,.,R,IIX,x,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_imm,233,x,x,2,.,.,.,.,.,.,.,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_ind_idx,241,x,x,2,.,.,.,.,.,R,IIY,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_zp,229,x,x,2,.,.,.,.,.,R,ZP,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SBC_zp_X,245,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,A,.,.,SUB,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
SEC_imp,56,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,SET,.,.,.,.
SED_imp,248,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,SET,.
SEI_imp,120,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,SET,.,.
STA_abs,141,x,x,3,.,.,.,.,.,W,ABS,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_abs_X,157,x,x,3,.,.,.,.,.,W,ABS_X,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_abs_Y,153,x,x,3,.,.,.,.,.,W,ABS_Y,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_idx_ind,129,x,x,2,.,.,.,.,.,W,IIX,x,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_ind_idx,145,x,x,2,.,.,.,.,.,W,IIY,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_zp,133,x,x,2,.,.,.,.,.,W,ZP,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STA_zp_X,149,x,x,2,.,.,.,.,.,W,ZP_X,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STX_abs,142,x,x,3,.,.,.,.,.,W,ABS,.,1,X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STX_zp,134,x,x,2,.,.,.,.,.,W,ZP,.,1,X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STX_zp_Y,150,x,x,2,.,.,.,.,.,W,ZP_Y,.,1,X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STY_abs,140,x,x,3,.,.,.,.,.,W,ABS,.,1,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STY_zp,132,x,x,2,.,.,.,.,.,W,ZP,.,1,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
STY_zp_X,148,x,x,2,.,.,.,.,.,W,ZP_X,.,1,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TAX_imp,170,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,TAX,.,.,X,.,.,.
TAY_imp,168,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,TAY,.,Y,.,.,.
TSX_imp,186,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,TSX,.,.,X,.,.,.
TXA_imp,138,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,TXA,.,.,.,A,.,.,.
TXS_imp,154,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,x,.,.,.,.,.,.,.,.,.
TYA_imp,152,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,TYA,.,.,.,A,.,.,.
BAD_02,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BAD_03,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BAD_04,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BAD_07,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BAD_0B,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BAD_0C,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
